keyword,language_code,category
customer care,en,Redressal
customer service,en,Redressal
consumer care,en,Redressal
consumer feedback,en,Redressal
consumer redressal,en,Redressal
helpline,en,Helpline
toll free,en,TollFree
toll-free,en,TollFree
complaint,en,Complaint
complaints,en,Complaint
feedback,en,Feedback
queries,en,Queries
query,en,Queries
contact us,en,Contact
reach us,en,Contact
write to us,en,Contact
grievance officer,en,Grievance
care cell,en,Cell
care@,en,Email
feedback@,en,Email
customercare@,en,Email
help@,en,Email
ग्राहक सेवा,hi,Redressal
उपभोक्ता शिकायत,hi,Complaint
हेल्पलाइन,hi,Helpline
टोल फ्री,hi,TollFree
संपर्क,hi,Contact
ग्राहक तक्रार,mr,Complaint
ग्राहक मदत,mr,Redressal
వినియోగదారుల సంరక్షణ,te,Redressal
వినియోగదారుల ఫిర్యాదులు,te,Complaint
హెల్ప్‌లైన్,te,Helpline
టోల్ ఫ్రీ,te,TollFree
গ্রাহক সেবা,bn,Redressal
গ্রাহক সহায়তা,bn,Redressal
অভিযোগ,bn,Complaint
ਗ੍ਰਾਹਕ ਸੇਵਾ,pa,Redressal
ਸਹਾਇਤਾ,pa,Redressal
صارفین کی دیکھ بھال,ur,Redressal
ہیلپ لائن,ur,Helpline
வாடிக்கையாளர் சேவை,ta,Redressal
உதவி எண்,ta,Helpline
ગ્રાહક સેવા,gu,Redressal
ಗ್ರಾಹಕರ ಸೇವೆ,kn,Redressal
